X Y Yfit
3.4890000E+1 1.5470000E-4 1.5083031E-4
3.5460000E+1 9.9020000E-5 9.9511391E-5
3.5980000E+1 6.8290000E-5 6.8734325E-5
3.6520000E+1 4.6730000E-5 4.7311659E-5
3.7160000E+1 3.0860000E-5 3.0877995E-5
3.7740000E+1 2.1150000E-5 2.1323274E-5
3.8510000E+1 1.3240000E-5 1.3388451E-5
3.9180000E+1 9.1000000E-6 9.1582177E-6
3.9820000E+1 6.5260000E-6 6.5130120E-6
4.0610000E+1 4.4520000E-6 4.3982202E-6
4.1330000E+1 3.2100000E-6 3.1521594E-6
4.2070000E+1 2.3340000E-6 2.2867020E-6
4.2850000E+1 1.6670000E-6 1.6628347E-6
4.3740000E+1 1.1930000E-6 1.1793300E-6
4.4580000E+1 8.6110000E-7 8.6579817E-7
4.5650000E+1 5.8660000E-7 5.9350716E-7
4.6660000E+1 4.1430000E-7 4.2068910E-7
4.7730000E+1 2.9110000E-7 2.9498101E-7
4.8860000E+1 2.0040000E-7 2.0443259E-7
5.0080000E+1 1.3890000E-7 1.3864007E-7
5.1190000E+1 9.8210000E-8 9.7928256E-8
5.2420000E+1 6.5750000E-8 6.6994544E-8
5.3700000E+1 4.5150000E-8 4.5392178E-8
5.5080000E+1 2.9780000E-8 3.0022514E-8
5.6530000E+1 2.0260000E-8 1.9578396E-8
5.7910000E+1 1.3070000E-8 1.3117731E-8
5.9550000E+1 8.4630000E-9 8.2164738E-9
6.1150000E+1 5.4460000E-9 5.2496722E-9
6.2770000E+1 3.4460000E-9 3.3637701E-9
6.4520000E+1 2.1320000E-9 2.0997014E-9
6.6400000E+1 1.1970000E-9 1.2795836E-9
